Radio 1: TH=1125.000000, ETX=1.800000, Esw=0.427716, Tsw=0.625000, Prb=0.220900, Eta=0.000047
Radio 2: TH=168.199997, ETX=1.600000, Esw=0.094249, Tsw=0.576000, Prb=0.003600, Eta=0.000036
Radio 3: TH=45.000000, ETX=1.300000, Esw=0.047089, Tsw=0.576000, Prb=0.260100, Eta=0.000090
Radio 4: TH=1445.000000, ETX=1.500000, Esw=0.492804, Tsw=0.529000, Prb=0.640000, Eta=0.000002
Radio 5: TH=1548.800049, ETX=1.900000, Esw=0.199809, Tsw=0.009000, Prb=0.003600, Eta=0.000047
Radio 6: TH=3.200000, ETX=1.900000, Esw=0.632025, Tsw=0.324000, Prb=0.129600, Eta=0.000094
Radio 7: TH=627.200012, ETX=1.400000, Esw=0.412164, Tsw=0.144000, Prb=0.250000, Eta=0.000047
Radio 8: TH=480.200012, ETX=1.300000, Esw=0.692224, Tsw=0.256000, Prb=0.336400, Eta=0.000035
Radio 9: TH=605.000000, ETX=1.100000, Esw=0.250000, Tsw=0.841000, Prb=0.129600, Eta=0.000032
Radio 10: TH=768.799988, ETX=1.200000, Esw=0.064009, Tsw=0.121000, Prb=0.324900, Eta=0.000058
Radio 11: TH=9.800000, ETX=1.000000, Esw=0.877969, Tsw=0.529000, Prb=0.490000, Eta=0.000025
Radio 12: TH=423.200012, ETX=1.600000, Esw=0.707281, Tsw=0.400000, Prb=0.152100, Eta=0.000090
Radio 13: TH=1479.199951, ETX=1.800000, Esw=0.727609, Tsw=0.324000, Prb=0.001600, Eta=0.000062
N = 5200	D = 1.44	GLP	8173	825	0	0	0	1994	0	0	0	0	896	0	0	1485	2.442	1
N = 5200	D = 1.44	GnB	5	502	79	21	720	1213	1	445	311	198	555	4	241	904	7.553	1
N = 5798	D = 1.44	RTS	14	825	130	0	1038	1994	0	0	0	326	0	0	0	1485	3.328	1
N = 5798	D = 1.44	GLP	9358	0	0	0	1184	1994	0	0	0	326	809	0	0	1485	3.092	1
N = 5798	D = 1.44	GnB	5	559	88	23	803	1353	2	496	347	221	619	5	268	1008	7.836	1
N = 6396	D = 1.44	RTS	14	825	130	0	1184	1994	0	452	0	326	0	0	0	1485	4.016	1
N = 6396	D = 1.44	GLP	7975	825	0	0	1184	1994	0	0	0	0	908	0	0	1485	3.469	1
N = 6396	D = 1.44	GnB	5	617	97	26	886	1492	2	547	382	244	683	6	296	1111	8.083	1
N = 6994	D = 1.44	RTS	14	825	130	0	1184	1994	0	731	0	326	319	0	0	1485	4.366	1
N = 6994	D = 1.44	GLP	8128	825	0	0	1184	1994	0	731	0	0	775	0	0	1485	4.155	1
N = 6994	D = 1.44	GnB	5	675	107	28	969	1632	2	598	418	266	746	6	324	1215	8.274	1
N = 7592	D = 1.44	RTS	14	825	130	0	1184	1994	0	731	0	326	912	0	5	1485	5.368	1
N = 7592	D = 1.44	GLP	7988	825	130	5	1184	1994	0	731	0	326	912	0	0	1485	4.735	1
N = 7592	D = 1.44	GnB	5	733	116	31	1052	1772	2	649	454	289	810	7	351	1319	8.522	1
N = 8190	D = 1.44	RTS	15	825	130	0	1184	1994	0	731	207	326	912	0	396	1485	6.411	1
N = 8190	D = 1.44	GLP	7618	825	130	0	1184	1994	0	731	207	326	912	0	396	1485	6.411	1
N = 8190	D = 1.44	GnB	5	790	125	33	1135	1911	3	701	490	312	874	7	379	1423	8.755	1
N = 8788	D = 1.44	RTS(G)	3	848	134	35	1218	2051	3	752	526	335	938	8	407	1527	8.997	0
N = 8788	D = 1.44	GLP(G)	3	848	134	35	1218	2051	3	752	526	335	938	8	407	1527	8.997	0
N = 8788	D = 1.44	GnB(G)	3	848	134	35	1218	2051	3	752	526	335	938	8	407	1527	8.997	0
