Radio 1: TH=1248.199951, ETX=1.000000, Esw=0.057600, Tsw=0.900000, Prb=0.396900, Eta=0.000033
Radio 2: TH=80.000000, ETX=1.900000, Esw=0.011236, Tsw=0.625000, Prb=0.372100, Eta=0.000093
Radio 3: TH=1729.800049, ETX=1.000000, Esw=0.419904, Tsw=0.225000, Prb=0.129600, Eta=0.000062
Radio 4: TH=768.799988, ETX=1.800000, Esw=0.002401, Tsw=0.484000, Prb=0.193600, Eta=0.000063
Radio 5: TH=583.200012, ETX=1.800000, Esw=0.305809, Tsw=0.009000, Prb=0.184900, Eta=0.000004
Radio 6: TH=1881.800049, ETX=1.200000, Esw=0.013225, Tsw=0.064000, Prb=0.019600, Eta=0.000029
Radio 7: TH=80.000000, ETX=1.300000, Esw=0.346921, Tsw=0.049000, Prb=0.160000, Eta=0.000001
Radio 8: TH=980.000000, ETX=1.100000, Esw=0.231361, Tsw=0.729000, Prb=0.435600, Eta=0.000017
Radio 9: TH=1248.199951, ETX=1.800000, Esw=0.024649, Tsw=0.361000, Prb=0.176400, Eta=0.000100
Radio 10: TH=336.200012, ETX=1.400000, Esw=0.589824, Tsw=0.256000, Prb=0.960400, Eta=0.000063
Radio 11: TH=480.200012, ETX=1.500000, Esw=0.082369, Tsw=0.025000, Prb=0.722500, Eta=0.000001
Radio 12: TH=387.200012, ETX=1.500000, Esw=0.236196, Tsw=0.016000, Prb=0.108900, Eta=0.000077
Radio 13: TH=1411.199951, ETX=1.100000, Esw=0.369664, Tsw=0.676000, Prb=0.490000, Eta=0.000025
Radio 14: TH=204.800003, ETX=1.900000, Esw=0.815409, Tsw=0.324000, Prb=0.624100, Eta=0.000096
Radio 15: TH=320.000000, ETX=1.000000, Esw=0.792100, Tsw=0.361000, Prb=0.025600, Eta=0.000039
Radio 16: TH=1065.800049, ETX=1.600000, Esw=0.080656, Tsw=0.400000, Prb=0.096100, Eta=0.000068
N = 4928	D = 1.44	GnB	6	245	23	764	267	303	942	40	253	490	144	247	200	392	83	125	403	6.659	1
N = 5664	D = 1.44	RTS	16	0	0	1891	0	0	2330	0	0	136	0	0	0	0	0	310	997	1.974	1
N = 5664	D = 1.44	GLP	8917	0	0	1891	0	0	2330	0	0	446	0	0	0	0	0	0	997	1.244	1
N = 5664	D = 1.44	GnB	6	281	27	878	307	349	1082	46	291	563	166	284	230	450	95	144	463	7.003	1
N = 6400	D = 1.44	RTS	16	0	0	1891	0	0	2330	0	0	872	0	0	0	0	0	310	997	2.210	1
N = 6400	D = 1.44	GLP	8336	0	0	1891	0	0	2330	0	0	1182	0	0	0	0	0	0	997	1.481	1
N = 6400	D = 1.44	GnB	5	318	30	993	347	394	1223	52	329	636	188	321	260	509	108	163	523	7.346	1
N = 7136	D = 1.44	RTS	16	0	0	1891	0	396	2330	0	0	1212	0	0	0	0	0	310	997	2.754	1
N = 7136	D = 1.44	GLP	10287	606	0	1891	100	0	2330	0	0	1212	0	0	0	0	0	0	997	1.800	1
N = 7136	D = 1.44	GnB	6	355	34	1107	387	439	1364	58	367	709	209	358	290	568	120	181	584	7.687	1
N = 7872	D = 1.44	RTS	17	381	0	1891	0	751	2330	0	0	1212	0	0	0	0	0	310	997	3.060	1
N = 7872	D = 1.44	GLP	9695	606	0	1891	661	0	2330	0	0	1212	0	0	175	0	0	0	997	2.310	1
N = 7872	D = 1.44	GnB	5	391	37	1221	427	485	1504	64	404	782	231	394	320	626	132	200	644	8.024	1
N = 8608	D = 1.44	RTS	16	606	0	1891	511	751	2330	0	0	1212	0	0	0	0	0	310	997	3.328	1
N = 8608	D = 1.44	GLP	8879	606	0	1891	661	0	2330	0	0	1212	0	0	0	911	0	0	997	2.716	1
N = 8608	D = 1.44	GnB	6	428	41	1335	467	530	1645	70	442	855	252	431	350	685	145	219	704	8.368	1
N = 9344	D = 1.44	RTS	16	606	0	1891	661	751	2330	0	0	1212	0	0	0	586	0	310	997	3.972	1
N = 9344	D = 1.44	GLP	8520	606	0	1891	661	751	2330	0	0	1212	0	0	0	896	0	0	997	3.259	1
N = 9344	D = 1.44	GnB	6	465	44	1449	507	575	1786	76	480	929	274	468	380	743	157	238	764	8.707	1
N = 10080	D = 1.44	RTS	16	606	0	1891	661	751	2330	0	0	1212	0	0	352	970	0	310	997	4.492	1
N = 10080	D = 1.44	GLP	9493	606	0	1891	661	751	2330	0	627	1212	0	35	0	970	0	0	997	3.944	1
N = 10080	D = 1.44	GnB	6	501	48	1564	546	621	1927	82	518	1002	296	505	410	802	170	256	824	9.054	1
N = 10816	D = 1.44	RTS	17	606	0	1891	661	751	2330	0	592	1212	0	0	496	970	0	310	997	5.055	1
N = 10816	D = 1.44	GLP	8353	606	0	1891	661	751	2330	0	627	1212	0	275	496	970	0	0	997	4.738	1
N = 10816	D = 1.44	GnB	5	538	52	1678	586	666	2067	88	556	1075	317	542	440	860	182	275	885	9.395	1
