--- N = 850 --- D = 0.80 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	X3	X4	X5	scs	SCS	estEng	CAP>=N
	13	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	16	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	13	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	15	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	15	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	13	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	15	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	15	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	13	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	15	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	13	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
--- N = 850 --- D = 0.88 ---
* * * Solver: GLP * * *
	us_sol	X1	X2	X3	X4	X5	scs	SCS	estEng	CAP>=N
	14602	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14009	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14619	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14137	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	15261	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14817	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	13957	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	15166	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14577	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14374	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14249	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14055	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	13865	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14360	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	13978	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14819	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	15699	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	15207	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	15906	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14782	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	15206	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14536	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14403	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14383	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	15306	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	16225	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14090	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14823	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14153	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14382	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14953	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14277	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14933	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14691	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
	14383	702	0	58	90	0	1,-,1,1,-,	1	0.484	1
