--- N = 184 --- D = 0.60 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	scs	SCS	estEng	CAP>=N
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	7	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	16	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	0,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	45	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	7	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	510	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	8	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	7	83	100	1,0,	0	0.392	0
(G)	22	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
